station_name,coords,latitude,longitude,names,admin1,admin2,country
"THIRUVANANTHAPURAM INTERNATIONAL, IN","(8.482122, 76.920114)",8.4855,76.94924,Thiruvananthapuram,Kerala,Thiruvananthapuram,IN
"ALICE SPRINGS, AS","(-23.806667, 133.902222)",-23.69748,133.88362,Alice Springs,Northern Territory,Alice Springs,AU
"DELGERTSGOT, MG","(46.1166667, 106.3833333)",46.12572,106.37426,Amardalay,Middle Govi,,MN
"BUTTE BERT MOONEY AIRPORT, MT US","(45.96436, -112.50147)",46.00382,-112.53474,Butte,Montana,Silver Bow County,US
"RADIN INTEN II, ID","(-5.24704, 105.18294)",-5.30897,105.19251,Natar,Lampung,,ID
"SOTO LA MARINA TAMPS., MX","(23.7666666, -98.2)",23.76953,-98.20442,Soto la Marina,Tamaulipas,,MX
"JULIACA, PE","(-15.467103, -70.158169)",-15.5,-70.13333,Juliaca,Puno,San Roman,PE
"MELBOURNE OLYMPIC PARK, AS","(-37.8333333, 144.9833333)",-37.83333,144.96667,South Melbourne,Victoria,Port Phillip,AU
"SWAMI VIVEKANANDA, IN","(21.1833333, 81.7333333)",21.15,81.7,Bhatgaon,Chhattisgarh,Raipur,IN
"CORDEIRO, BR","(-22.0333333, -42.3666666)",-22.02861,-42.36083,Cordeiro,Rio de Janeiro,Cordeiro,BR
"BLUEFIELD MERCER CO AIRPORT, WV US","(37.2978, -81.20358)",37.26984,-81.22232,Bluefield,West Virginia,Mercer County,US
"EGILSSTADIR, IC","(65.283333, -14.401389)",65.26687,-14.39485,Egilsstadir,East,,IS
"ZUMBO, MZ","(-15.6166666, 30.4333333)",-15.61667,30.41667,Luangwa,Lusaka,,ZM
"KALININSK, RS","(51.5, 44.5)",51.5,44.4758,Kalininsk,Saratov,,RU
"OBIHIRO, JA","(42.9166666, 143.2166666)",42.91722,143.20444,Obihiro,Hokkaido,,JP
"M POUYA, CF","(-2.6166667, 16.2166667)",-2.158,16.23249,Bolobo,Bandundu,,CD
"F3 NETHERLANDS, NL","(54.85, 4.7333333)",53.35911,5.21482,West-Terschelling,Friesland,Gemeente Terschelling,NL
"CATALOI, RO","(45.062486, 28.714311)",45.03333,28.73333,Mihail Kogalniceanu,Tulcea,Comuna Mihail Kogalniceanu,RO
"EMBA, KZ","(48.817, 58.217)",48.82981,58.15042,Embi,Aqtoebe,,KZ
"BARKAM, CH","(31.9, 102.2333333)",31.90059,102.22092,Barkam,Sichuan,,CN
"PALMAS, BR","(-10.1833333, -48.3)",-10.16745,-48.32766,Palmas,Tocantins,Palmas,BR
"SOUTHLAND FIELD AIRPORT, LA US","(30.131, -93.376)",30.16882,-93.37599,Carlyss,Louisiana,Calcasieu Parish,US
"GENGMA, CH","(23.55, 99.4)",23.52325,99.3786,Gengma,Yunnan,,CN
"TURKU RAJAKARI, FI","(60.3833333, 22.1)",60.46744,22.02428,Naantali,Varsinais-Suomi,Turku,FI
"JUARA, BR","(-11.2833333, -57.5333333)",-9.87556,-56.08611,Alta Floresta,Mato Grosso,Alta Floresta,BR
"MAHMUDIA, RO","(45.0833333, 29.0666666)",45.08333,29.08333,Mahmudia,Tulcea,Comuna Mahmudia,RO
"ENONTEKIO KILPISJARVI, FI","(69.05, 20.7833333)",69.60407,20.53272,Olderdalen,Troms,Kafjord,NO
"BRIDGETOWN, AS","(-33.95, 116.1333333)",-33.96242,116.13598,Bridgetown,Western Australia,Bridgetown-Greenbushes,AU
"HOUARI BOUMEDIENE, AG","(36.691014, 3.215408)",36.71333,3.2125,Dar el Beida,Alger,,DZ
"SUSILO, ID","(0.063619, 111.473428)",1.24722,111.45278,Simanggang,Sarawak,,MY
"RELAY STAT, AY","(-74.0166666, 43.05)",-49.35,70.21667,Port-aux-Francais,Kerguelen,,TF
"CHEJU DO K 39, KS","(33.2, 126.266667)",33.46444,126.31833,Gaigeturi,Jeju-do,,KR
"MCKINNEY MUNICIPAL AIRPORT, TX US","(33.18286, -96.58988)",33.19762,-96.61527,McKinney,Texas,Collin County,US
"SAIDPUR, BG","(25.75, 88.9166666)",25.77769,88.89169,Saidpur,Rajshahi,,BD
"SAGAR ISLAND, IN","(21.65, 88.05)",21.77985,87.74892,Contai,West Bengal,Purba Medinipur,IN
"ANTONIO NARINO, CO","(1.392844, -77.290822)",1.35943,-77.28367,Chachagui,Narino,,CO
"GDANSK SWIBNO, PL","(54.3333333, 18.9333333)",54.21256,18.95142,Ostaszewo,Pomeranian Voivodeship,Powiat nowodworski,PL
"GLASGOW INTERNATIONAL AIRPORT, MT US","(48.21416, -106.62139)",48.19696,-106.63671,Glasgow,Montana,Valley County,US
"RAROTONGA INTERNATIONAL, CW","(-21.202739, -159.805556)",-21.20778,-159.775,Avarua,,,CK
"KRASNAYA POLYANA, RS","(43.6833333, 40.2)",43.67952,40.20403,Krasnaya Polyana,Krasnodarskiy,Sochi City,RU
"PENN YAN AIRPORT, NY US","(42.64405, -77.05286)",42.6609,-77.05386,Penn Yan,New York,Yates County,US
"EL EDEN, CO","(4.452775, -75.766447)",4.45265,-75.78746,La Tebaida,Quindio,,CO
"DIGHA, IN","(21.6166666, 87.5)",21.62776,87.51965,Digha,West Bengal,Purba Medinipur,IN
"KONOTOP, UP","(51.2333333, 33.2)",51.24032,33.20263,Konotop,Sumy,,UA
"JOPLIN REGIONAL AIRPORT, MO US","(37.15222, -94.49524)",37.14645,-94.463,Webb City,Missouri,Jasper County,US
"MURSKA SOBOTA, SI","(46.65, 16.2)",46.65167,16.20417,Rakican,Murska Sobota,,SI
"CELNO VERSINY, RS","(54.4166666, 51.1)",54.4148,51.08594,Chelno-Vershiny,Samara,,RU
"ALBION MUNICIPAL AIRPORT, NE US","(41.73, -98.05444)",41.69084,-98.00367,Albion,Nebraska,Boone County,US
"VICTORIA HARBOUR, CA","(48.42, -123.33)",48.44964,-123.3026,Oak Bay,British Columbia,,CA
"EFIMOVSKAJA, RS","(59.5, 34.7)",59.49639,34.67222,Yefimovskiy,Leningrad,,RU
"DACHEN DAO, CH","(28.45, 121.8833333)",28.55544,121.48052,Pengjie,Zhejiang Sheng,,CN
"JINZHOU, CH","(41.1333333, 121.1166666)",41.10778,121.14167,Jinzhou,Liaoning,,CN
"ROSEMARY AGDM, CA","(50.82, -112.05)",50.58341,-111.88509,Brooks,Alberta,,CA
"GOOSE BAY UA, CA","(53.3166666, -60.4166666)",53.31685,-60.33153,Happy Valley-Goose Bay,Newfoundland and Labrador,,CA
"YEFREN, LY","(32.0402778, 12.3127778)",31.92231,12.25195,Az Zintan,Sha`biyat al Jabal al Gharbi,,LY
"KRASNOSCEL E, RS","(67.35, 37.05)",68.00638,35.01589,Lovozero,Murmansk,,RU
"CALAPAN MINDORO ISL, RP","(13.4166667, 121.1833333)",13.4117,121.1803,Calapan,Mimaropa,,PH
"KIRSEHIR, TU","(39.15, 34.1666666)",39.14583,34.16389,Kirsehir,Kirsehir,,TR
"SIRACUSA, IT","(37.05, 15.2794444)",37.0376,15.27195,Carrozziere,Sicily,Provincia di Siracusa,IT
"MARHAM, UK","(52.648353, 0.550692)",52.64692,0.68871,Swaffham,England,Norfolk,GB
"NELSON BC, CA","(49.4833333, -117.3)",49.49985,-117.28553,Nelson,British Columbia,,CA
"SADIQ ABUBAKAR III INTERNATIONAL, NI","(12.916322, 5.207189)",12.84413,5.15001,Bodinga,Sokoto,,NG
"CAPRI ISLAND, IT","(40.55, 14.25)",40.55073,14.24263,Capri,Campania,Provincia di Napoli,IT
"MONTICELLO WAYNE CO AIRPORT, KY US","(36.85528, -84.85611)",36.82979,-84.84911,Monticello,Kentucky,Wayne County,US
"HALMSTAD, SW","(56.691128, 12.820211)",56.67446,12.85676,Halmstad,Halland,Halmstads Kommun,SE
"PUSKINSKIE GORY, RS","(57.0166666, 28.9)",57.02085,28.9103,Pushkinskiye Gory,Pskov,,RU
"GRATES COVE, CA","(48.1666666, -52.9333333)",48.51659,-53.08135,Catalina,Newfoundland and Labrador,,CA
"ROSCOE TURNER AIRPORT, MS US","(34.915, -88.604)",34.93425,-88.52227,Corinth,Mississippi,Alcorn County,US
"SCERBAKTY, KZ","(52.35, 78.333)",52.7773,78.7896,Tabuny,Altai Krai,,RU
"ZAKHO, IZ","(37.1333333, 42.7166666)",37.14871,42.68591,Zaxo,Dahuk,,IQ
"HERRERA INTERNATIONAL, DR","(18.470064, -69.969419)",18.45539,-69.9454,Bella Vista,Nacional,,DO
"LA TONTOUTA, NC","(-22.014553, 166.212972)",-22.13333,166.36667,Paita,South Province,Paita,NC
"GUANARE, VE","(9.026944, -69.75515)",9.04183,-69.74206,Guanare,Portuguesa,Municipio Guanare,VE
"YUEYANG, CH","(29.3833333, 113.0833333)",29.37455,113.09481,Yueyang,Hunan,,CN
"BARNWELL AGDM ALTA, CA","(49.8, -112.3)",49.78703,-112.14603,Taber,Alberta,,CA
"RACINE BATTEN AIRPORT, WI US","(42.75856, -87.8178)",42.72613,-87.78285,Racine,Wisconsin,Racine County,US
"PJALICA, RS","(66.1833333, 39.5333333)",64.5635,39.8302,Severodvinsk,Arkhangelskaya,,RU
"GAYLORD 9 SSW, MI US","(44.908, -84.7203)",45.02751,-84.67475,Gaylord,Michigan,Otsego County,US
"SION, SZ","(46.219592, 7.326764)",46.22528,7.30372,Conthey,Valais,Conthey District,CH
"BOLUNGAVIK, IC","(66.15, -23.25)",66.07475,-23.13498,Isafjoerdur,Westfjords,,IS
"VILLACHER ALPE AUTOM, AU","(46.6, 13.6666666)",46.55833,13.66778,Hohenthurn,Carinthia,Politischer Bezirk Villach Land,AT
"GALLUP MUNICIPAL AIRPORT, NM US","(35.50857, -108.79319)",35.52808,-108.74258,Gallup,New Mexico,McKinley County,US
"SOCHI, RS","(43.449928, 39.956589)",43.46304,39.96701,Vysokoye,Krasnodarskiy,,RU
"TAREMPA, ID","(3.2, 106.25)",2.8147,104.1592,Kampung Tekek,Pahang,,MY
"TRACUATEUA BRAGANCA, BR","(-1.0833333, -46.9333333)",-1.05361,-46.76556,Braganca,Para,Braganca,BR
"SAIGO, JA","(36.2, 133.3333333)",35.55,133.23333,Sakaiminato,Shimane,,JP
"HARRISON 20 SSE, NE US","(42.4247, -103.7363)",42.68719,-103.88271,Harrison,Nebraska,Sioux County,US
"MERCED 23 WSW, CA US","(37.2381, -120.8825)",37.25772,-120.99882,Gustine,California,Merced County,US
"HVALYNSK, RS","(52.5, 48.0833333)",52.4906,48.1058,Khvalynsk,Saratov,,RU
"UST USA, RS","(65.9666666, 56.9166666)",65.99389,57.52806,Usinsk,Komi Republic,,RU
"CAPE PEEL WEST, CA","(69.03, -107.82)",67.82743,-115.09649,Kugluktuk,Nunavut,,CA
"WOONG CHEON, KS","(36.2, 126.55)",36.34931,126.59772,Taisen-ri,Chungcheongnam-do,,KR
"LAUPHEIM, GM","(48.220297, 9.910019)",48.23333,9.93333,Burgrieden,Baden-Wuerttemberg,Tuebingen Region,DE
"AUGUSTA BUSH FIELD AIRPORT, GA US","(33.36517, -81.96353)",33.47097,-81.97484,Augusta,Georgia,Richmond County,US
"MCNABS ISLAND AUT, CA","(44.6024, -63.5329)",44.64533,-63.57239,Halifax,Nova Scotia,,CA
"RUENENBERG, SZ","(47.4333333, 7.8833333)",47.46936,7.87248,Ormalingen,Basel-Landschaft,Bezirk Sissach,CH
"MAIN PASS 289 C OIL PLATFORM, LA US","(29.248, -88.441)",30.25548,-88.10972,Dauphin Island,Alabama,Mobile County,US
"BALHASH, KZ","(46.8, 75.0833333)",46.81694,75.04028,Shashubay,Qaraghandy,,KZ
"KARESUANDO, SW","(68.45, 22.45)",69.01247,23.04116,Kautokeino,Finnmark Fylke,Kautokeino,NO
"JAEN, PE","(-5.5833333, -78.7666666)",-5.62722,-78.85278,Las Pirias,Cajamarca,Provincia de Jaen,PE
"AURANGABAD, IN","(19.863169, 75.398206)",19.87757,75.34226,Aurangabad,Maharashtra,Aurangabad Division,IN
"CHINTAMANI, IN","(13.2, 78.0666666)",13.13671,78.12917,Kolar,Karnataka,Kolar,IN
"BELAJA KALITVA, RS","(48.167, 40.817)",48.18585,40.77424,Belaya Kalitva,Rostov,,RU
"UST LABINSK, RS","(45.217, 39.683)",45.21077,39.68914,Ust'-Labinsk,Krasnodarskiy,,RU
"KRAMFORS SOLLEFTEA, SW","(63.048597, 17.768856)",62.99777,17.67348,Bollstabruk,Vaesternorrland,Kramfors Kommun,SE
"SALMON LEMHI CO AIRPORT, ID US","(45.11667, -113.88333)",45.17575,-113.8959,Salmon,Idaho,Lemhi County,US
"MARSENS, SZ","(46.65, 7.0666666)",46.65649,7.06167,Marsens,Fribourg,Gruyere District,CH
"LICENCIADO Y GEN IGNACIO LOPEZ RAYON, MX","(19.396692, -102.039056)",19.38333,-102.03611,Santa Rosa (Santa Barbara),Michoacan,Uruapan,MX
"STANLEY, FK","(-51.685672, -57.777644)",-51.7,-57.85,Stanley,,,FK
"CLEVELANDIA, BR","(-26.4166666, -52.35)",-26.39583,-52.47083,Clevelandia,Parana,Clevelandia,BR
"MANITOWOC, WI US","(44.13333, -87.66667)",44.08861,-87.65758,Manitowoc,Wisconsin,Manitowoc County,US
"HOLSWORTHY AERODROME AWS, AS","(-33.9833333, 150.95)",-33.98333,150.96667,Holsworthy,New South Wales,Liverpool,AU
"PBO RAIPUR, IN","(21.2333333, 81.65)",21.23333,81.63333,Raipur,Chhattisgarh,Raipur,IN
"SHREVEPORT DOWNTOWN AIRPORT, LA US","(32.53984, -93.74616)",32.52515,-93.75018,Shreveport,Louisiana,Caddo Parish,US
"DAGLOSEN, SW","(59.6666666, 14.1833333)",59.71236,14.16831,Filipstad,Vaermland,Filipstads Kommun,SE
"NEW HAVEN TWEED AIRPORT, CT US","(41.259, -72.88911)",41.27621,-72.86843,East Haven,Connecticut,New Haven County,US
"HALIM PERDANAKUSUMA INTERNATIONAL, ID","(-6.266608, 106.891117)",-6.21462,106.84513,Jakarta,Jakarta Raya,,ID
"ALTAI, MG","(46.4, 96.25)",46.37222,96.25833,Altai,Govi-Altay,,MN
"SHADZHATMAZ, RS","(43.7333333, 42.6666666)",43.91333,42.72083,Kislovodsk,Stavropol'skiy,,RU
"EVENES, NO","(68.4913, 16.678108)",68.58283,16.57203,Evenskjer,Troms,Skanland,NO
"CHIPINGE, ZI","(-20.2, 32.6166667)",-20.18833,32.62365,Chipinge,Manicaland,,ZW
"MONTEVIDEO CHIPPEWA CO AIRPORT, MN US","(44.96889, -95.71)",44.94803,-95.71701,Montevideo,Minnesota,Chippewa County,US
"MULESHOE 19 S, TX US","(33.9557, -102.774)",33.7251,-102.75938,Morton,Texas,Cochran County,US
"TOLEDO EXPRESS AIRPORT, OH US","(41.58705, -83.80538)",41.51894,-83.80383,Whitehouse,Ohio,Lucas County,US
"TOMTABACKEN, SW","(57.5, 14.4666666)",57.58333,14.46667,Malmback,Joenkoeping,Nassjo Kommun,SE
"BEND MUNICIPAL AIRPORT, OR US","(44.095, -121.2)",44.05817,-121.31531,Bend,Oregon,Deschutes County,US
"HULTSFRED, SW","(57.525833, 15.823333)",57.48815,15.84357,Hultsfred,Kalmar,Hultsfreds Kommun,SE
"SPRINGDALE MUNICIPAL AIRPORT, AR US","(36.1764, -94.1193)",36.18674,-94.12881,Springdale,Arkansas,Washington County,US
"SANANDAJ, IR","(35.246936, 47.009011)",35.31495,46.99883,Sanandaj,Kordestan,,IR
"ISKELE, CY","(35.2833333, 33.8833333)",35.28628,33.89167,Trikomo,Ammochostos,,CY
"DUBENDORF, SZ","(47.398644, 8.648231)",47.41182,8.64516,Wangen,Zurich,Bezirk Uster,CH
"KENITRA RMAFB, MO","(34.3, -6.6)",34.26101,-6.5802,Kenitra,Gharb-Chrarda-Beni Hssen,Kenitra Province,MA
"NEIRA, ID","(-4.5333333, 129.9)",-3.5029,130.1105,Werinama,Maluku,,ID
"WILLIAM L WHITEHURST FIELD, TN US","(35.214458, -89.043361)",35.25619,-88.98784,Bolivar,Tennessee,Hardeman County,US
"TAIPAK, KZ","(49.05, 51.8666666)",48.55,51.78333,Inderbor,Atyrau,,KZ
"SOGO HAYA, RS","(64.2833333, 126.45)",63.92301,127.47135,Sangar,Sakha,,RU
"BOL SHOJ SHANTAR, RS","(54.8333333, 137.5333333)",56.46314,138.17777,Ayan,Khabarovsk Krai,,RU
"ANGUL, IN","(20.8333333, 85.1)",20.84089,85.10192,Angul,Odisha,Angul District,IN
"CENTRO MET. ANTARTICO PDTE. EDUARDO FREI, AY","(-62.1833333, -58.9833333)",-51.7,-57.85,Stanley,,,FK
"NGURU, NI","(12.8833333, 10.4666666)",12.87695,10.45536,Nguru,Yobe,,NG
"PUCHENG, CH","(27.9166666, 118.5333333)",27.92333,118.53333,Pucheng,Fujian,,CN
"KRAKENES, NO","(62.0333333, 4.9833333)",61.93535,5.11362,Maloy,Sogn og Fjordane,Vagsoy,NO
"TARFALA, SW","(67.9166666, 18.6)",68.86099,18.34857,Setermoen,Troms,Bardu,NO
"SAO ROMAO, BR","(-16.3666666, -45.1166666)",-15.94861,-44.86444,Sao Francisco,Minas Gerais,Sao Francisco,BR
"ST. PAUL DOWNTOWN AIRPORT, MN US","(44.93234, -93.05586)",44.94441,-93.09327,Saint Paul,Minnesota,Ramsey County,US
"BLANDING, UT US","(37.6166666, -109.466666)",37.62416,-109.47818,Blanding,Utah,San Juan County,US
"SIDI BARRANI, EG","(31.633, 25.967)",31.75615,25.08653,Bardiyah,Sha`biyat al Butnan,,LY
"EL FERROL, SP","(43.4833333, -8.2333333)",43.48321,-8.23689,Ferrol,Galicia,Provincia da Coruna,ES
"BERBERATI, CT","(4.221583, 15.786369)",4.26116,15.79216,Berberati,Mambere-Kadei,,CF
"DANDE GALLEBERG, NO","(59.6166666, 10.2166666)",59.58679,10.20809,Sande,Vestfold,Sande,NO
"SAVONLINNA, FI","(61.943064, 28.945136)",61.8699,28.87999,Savonlinna,Southern Savonia,Savonlinna,FI
"GOSFORD AWS, AS","(-33.4333333, 151.3666666)",-33.43874,151.35338,East Gosford,New South Wales,Gosford Shire,AU
"MALLACOOTA, AS","(-37.6, 149.7333333)",-37.06322,149.90401,Eden,New South Wales,Bega Valley,AU
"KINGISEPP, RS","(59.3666666, 28.6)",59.37331,28.61343,Kingisepp,Leningrad,,RU
"THUNDER BAY ISLAND, MI US","(45.035, -83.194)",45.06168,-83.43275,Alpena,Michigan,Alpena County,US
"CHAPADINHA, BR","(-3.75, -43.35)",-3.74167,-43.36028,Chapadinha,Maranhao,Chapadinha,BR
"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","(42.36057, -71.00975)",42.3751,-70.98283,Winthrop,Massachusetts,Suffolk County,US
"KOSTUCKOVICHI, BO","(53.35, 32.0666666)",53.3525,32.0514,Kastsyukovichy,Mogilev,,BY
"NAMLEA BURU ISLAND, ID","(-3.25, 127.0833333)",-3.26194,127.09292,Namlea,Maluku,,ID
"MACON CO AIRPORT, NC US","(35.2225, -83.41917)",35.18232,-83.38154,Franklin,North Carolina,Macon County,US
"GOLDEN, CA","(51.299167, -116.982222)",51.29995,-116.9689,Golden,British Columbia,,CA
"VRYHEID, SF","(-27.7833333, 30.8)",-27.76952,30.79165,Vryheid,KwaZulu-Natal,Zululand District Municipality,ZA
"DAVANGERE, IN","(14.5, 75.9166666)",14.51288,75.80716,Harihar,Karnataka,Davanagere,IN
"EL YOPAL, CO","(5.319114, -72.383975)",5.33775,-72.39586,Yopal,Casanare,,CO
"RUBCOVSK, RS","(51.5755556, 81.2166666)",51.51473,81.20613,Rubtsovsk,Altai Krai,,RU
"KSAR CHELLALA, AG","(35.1666666, 2.3166666)",35.21222,2.31889,Ksar Chellala,Tiaret,,DZ
